CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,e_above_hull (eV)
20436284,H6C9O1F4,-1.128586282,CC1=C(C(=C(C(=C1F)F)C(=O)C)F)F,-2.804506893,-3.82315966,-1.805022152,-1.969741258,
57065606,H3C6N2Cl1O1,-1.741351813,C1=CNC(=C1C(=O)Cl)C#N,-2.58561304,-1.832841091,-2.168873793,-1.968563894,
69728627,H7C11S1N1O1,-2.586673305,C1C2=CC=CC=C2C3=CC(=O)N=C3S1,-1.327515818,-1.33071866,-1.375397203,-1.965608599,
11171030,H9C4N1Cl2,-1.427587384,CC(C)(C)N(Cl)Cl,-1.758140917,-2.707830329,-3.037152043,-1.96431424,
50896814,H4C5N3O2F3,-1.89638912,CN1C=C(C(=N1)C(F)(F)F)[N+](=O)[O-],-2.30702788,-2.035121891,-1.739807531,-1.96185411,
16637681,H7C10N1O6,-2.675265471,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)[N+](=O)[O-],-1.509795799,-1.163805998,-1.070348464,-1.961624445,
3822862,H5C6S1N2Cl1O2,-1.955450564,C1=C(N=C(C=N1)Cl)SCC(=O)O,-2.266109207,-1.759761623,-1.877022663,-1.961540864,
549478,H2C4N1Cl1F6,-1.080599707,C1C(N1Cl)(C(F)(F)F)C(F)(F)F,-3.228164167,-2.722133798,-2.55452579,-1.957770479,
5943,C1Cl4,-1.490339999,C(Cl)(Cl)(Cl)Cl,-2.369379799,-1.846305501,-3.049685527,-1.956065137,
11063185,H5C6N2Cl1O3,-1.922228671,CN1C=C(C=C1C(=O)Cl)[N+](=O)[O-],-1.889886754,-2.000099247,-2.076336884,-1.955501483,
2782533,H3C5O1F7,-0.268500107,C(C=O)C(C(C(F)(F)F)(F)F)(F)F,-4.248160412,-3.205924049,-3.436692773,-1.949379593,
53426213,H8C10S1N2O2,-2.154784632,C=C(CC1=CC=C(C=C1)SC#N)[N+](=O)[O-],-1.870132673,-1.517821767,-1.822560672,-1.945811501,
14145514,C4Cl4O1,0.318425873,C1(=C(OC(=C1Cl)Cl)Cl)Cl,-3.426118061,-3.700171675,-5.474182762,-1.940865813,
17962603,H4C6O1,-2.911512602,C1=CC2=CC=C1O2,-1.047624775,-0.85355203,-0.931600641,-1.927885875,
20693762,H3C1O2F1,-0.50843841,C(O)OF,-3.486327982,-2.51752708,-4.032455339,-1.926937605,
12778787,H7C10N1O5,-2.46116672,CC(=O)C1=C(C=CC2=C1C=C(O2)[N+](=O)[O-])O,-1.874825228,-0.740595104,-1.559956051,-1.926479424,
22211763,H8C3S5,-0.357092273,CSCSSCSS,-2.731356941,-3.386897099,-4.367855101,-1.926230993,
17790539,H2C6F2,0.24828956,C1=CC2=C1C(=C2F)F,-4.751939985,-3.894102616,-3.634870334,-1.922674042,
54108178,H6C7N3Cl1O2,-2.457475549,C1=CN=C(C(=C1C=CCl)[N+](=O)[O-])N,-1.204305409,-1.865882695,-1.026031556,-1.911441051,
17922717,H4C8O2F4,-1.054760156,CC1=C(C(=C(C(=C1F)F)F)C(=O)O)F,-2.95483631,-2.948526404,-2.386266577,-1.90898496,
2736379,H7C5Br1O1F4,0.063721531,C(CC(C(F)(F)Br)(F)F)CO,-4.575959663,-3.570025789,-3.49854563,-1.908894415,
21350970,H6C8,-2.642043578,C1C2C13C24C35C46C5C6,-0.924276572,-0.917127317,-1.627579647,-1.899185712,
19447131,H10C10N4O1F2,-1.774575062,CC1=NC2=C(C=NN2C(=C1)C(F)F)C(=O)NC,-1.94493616,-2.121319041,-1.987535911,-1.896252716,
15917579,H7C10N3O4,-2.154784632,C1C(N1C(=O)OC2=CC=C(C=C2)[N+](=O)[O-])C#N,-1.527777245,-1.522304558,-1.851694673,-1.894355062,
61195,P1H3C1S1Cl2,-1.335302692,CP(=S)(Cl)Cl,-2.438307265,-1.480740347,-3.435947,-1.893483781,
12589774,H2C6N1Cl1F4,0.765080584,C1(=C(C(=C(C(=C1F)F)Cl)F)F)N,-4.403267109,-5.097565715,-4.091198453,-1.882798254,
74223027,H8C6N4O2,-3.361858485,CC1=NN=C(N=N1)CCC(=O)O,-0.461631559,-0.265440979,-0.470060471,-1.88045141,
5385290,H9C12N2Cl1O1,-2.335661491,C1=CC(=O)C=CC1=NNC2=CC=C(C=C2)Cl,-1.303470505,-1.226028305,-1.730941835,-1.877904186,
24193,Ti1Cl4,-4.192413937,Cl[Ti](Cl)(Cl)Cl,0.257334379,1.117880952,-0.060219075,-1.877040926,
19860280,C8N2O2F4,-0.944018253,C(=NC1=C(C(=C(C(=C1F)F)N=C=O)F)F)=O,-2.909478057,-3.581580724,-1.927506341,-1.875103313,
